index,width,height,unique,blur,mean,min,max,stdv,file_size,contrast
0,640,480,140,149.4343,23.5342,0.0000,168.0000,21.2887,20295,1.0000
1,640,480,140,141.2182,24.3683,0.0000,169.0000,21.5334,20687,1.0000
2,640,480,165,203.8365,29.2029,0.0000,203.0000,25.8838,24144,1.0000
3,640,480,117,89.6993,19.5420,0.0000,141.0000,17.2137,17800,1.0000
4,640,480,170,210.8342,29.0223,0.0000,213.0000,26.0596,23939,1.0000
5,640,480,151,161.8043,27.6058,0.0000,177.0000,27.3832,19351,1.0000
6,640,480,134,103.3449,25.0687,0.0000,157.0000,22.1639,19237,1.0000
7,640,480,178,236.2490,33.1409,0.0000,213.0000,32.9135,22821,1.0000
8,640,480,138,116.6409,22.7641,0.0000,155.0000,20.0495,19248,1.0000
9,640,480,166,172.6336,27.3284,0.0000,188.0000,24.1148,22740,1.0000
10,640,480,138,107.4540,21.4637,0.0000,155.0000,19.5853,18446,1.0000
11,640,480,112,67.5924,17.2035,0.0000,124.0000,15.6862,15906,1.0000
12,640,480,134,96.9816,20.7479,0.0000,155.0000,19.1663,17881,1.0000
13,640,480,159,144.6704,24.8762,0.0000,189.0000,23.0467,21283,1.0000
14,640,480,166,166.3050,27.0073,0.0000,176.0000,24.4479,22183,1.0000
15,640,480,113,71.7303,18.0455,0.0000,121.0000,16.2735,16178,1.0000
16,640,480,144,140.4218,24.1074,0.0000,168.0000,21.2608,20415,1.0000
17,640,480,169,205.4277,28.9209,0.0000,197.0000,25.5614,23892,1.0000
18,640,480,183,245.0892,32.7573,0.0000,253.0000,33.3527,22630,1.0000
19,640,480,128,107.7458,21.8339,0.0000,170.0000,22.2488,16570,1.0000
20,640,480,142,142.3605,24.1590,0.0000,163.0000,21.3104,20429,1.0000
21,640,480,115,91.2997,19.3663,0.0000,133.0000,17.0492,17643,1.0000
22,640,480,172,207.6237,29.7896,0.0000,205.0000,26.4260,24117,1.0000
23,640,480,123,91.7722,19.9159,0.0000,138.0000,17.5711,17741,1.0000
24,640,480,185,228.1915,32.9164,0.0000,245.0000,29.3782,24367,1.0000
25,640,480,130,98.7292,21.9915,0.0000,159.0000,19.5717,17841,1.0000
26,640,480,134,108.5298,24.5770,0.0000,152.0000,22.2302,19079,1.0000
27,640,480,188,245.8270,33.9181,0.0000,239.0000,30.1188,24871,1.0000
28,640,480,155,171.0300,28.0928,0.0000,196.0000,25.0955,21120,1.0000
29,640,480,188,248.2692,33.6805,0.0000,238.0000,30.1616,24760,1.0000
30,640,480,128,109.2148,22.5110,0.0000,158.0000,20.0692,18137,1.0000
31,640,480,126,102.1607,21.1943,0.0000,149.0000,18.6008,18083,1.0000
32,640,480,144,147.2524,25.0245,0.0000,182.0000,22.9707,20487,1.0000
33,640,480,172,217.2158,30.0016,0.0000,214.0000,27.5850,24070,1.0000
34,640,480,156,160.1796,29.4596,0.0000,178.0000,26.7440,22453,1.0000
35,640,480,121,94.4436,20.0514,0.0000,144.0000,18.3670,17637,1.0000
36,640,480,124,100.0456,20.5569,0.0000,156.0000,18.3393,17936,1.0000
37,640,480,158,160.7027,28.6157,0.0000,198.0000,27.7024,19433,1.0000
38,640,480,183,232.7231,34.3628,0.0000,229.0000,33.2905,22963,1.0000
39,640,480,145,137.0032,24.5350,0.0000,180.0000,21.4237,20493,1.0000
40,640,480,117,88.2054,19.6673,0.0000,142.0000,17.1457,17616,1.0000
41,640,480,143,140.1808,24.5152,0.0000,164.0000,21.4882,20348,1.0000
42,640,480,120,89.0828,19.6801,0.0000,129.0000,17.1886,17508,1.0000
43,640,480,141,133.7654,23.7213,0.0000,167.0000,21.3409,19980,1.0000
44,640,480,115,85.5561,19.0307,0.0000,134.0000,17.0760,17193,1.0000
45,640,480,171,191.5362,28.3341,0.0000,202.0000,25.6025,23164,1.0000
46,640,480,115,84.2353,18.9556,0.0000,127.0000,17.0042,17049,1.0000
47,640,480,140,122.4904,22.8526,0.0000,158.0000,20.4632,19345,1.0000
48,640,480,151,163.5432,25.4426,0.0000,169.0000,23.7086,20725,1.0000
49,640,480,140,143.9002,24.8665,0.0000,173.0000,21.6245,20677,1.0000
50,640,480,167,212.4695,29.8302,0.0000,216.0000,25.9976,24290,1.0000
51,640,480,118,93.2124,19.9277,0.0000,139.0000,17.3152,17850,1.0000
52,640,480,156,168.0239,27.9789,0.0000,199.0000,25.8906,20939,1.0000
53,640,480,145,122.3643,26.4238,0.0000,173.0000,23.5635,20191,1.0000
54,640,480,173,181.0657,31.6813,0.0000,211.0000,28.3043,23825,1.0000
55,640,480,182,239.5483,30.5280,0.0000,201.0000,28.5018,24321,1.0000
56,640,480,122,79.1786,21.1642,0.0000,142.0000,18.8582,17330,1.0000
57,640,480,201,154.7277,33.5148,0.0000,212.0000,33.7038,21868,1.0000
58,640,480,172,166.9511,26.7939,0.0000,213.0000,27.7409,19207,1.0000
59,640,480,208,244.7038,32.1760,0.0000,244.0000,33.3351,22673,1.0000
60,640,480,168,164.7451,27.6682,0.0000,224.0000,26.9928,19971,1.0000
61,640,480,199,243.2824,33.1953,0.0000,255.0000,32.4470,23472,1.0000
62,640,480,167,168.0231,28.0457,0.0000,219.0000,26.9743,19978,1.0000
63,640,480,135,107.1480,22.4705,0.0000,179.0000,21.5972,17314,1.0000
64,640,480,165,169.1402,28.0838,0.0000,209.0000,26.1211,20574,1.0000
65,640,480,191,245.8596,33.6789,0.0000,253.0000,31.3746,24180,1.0000
66,640,480,194,259.3587,34.9930,0.0000,252.0000,32.5861,24473,1.0000
67,640,480,137,112.4421,23.3807,0.0000,180.0000,21.6929,17998,1.0000
68,640,480,166,187.7872,29.2410,0.0000,213.0000,26.5135,21415,1.0000
69,640,480,166,110.8814,28.5829,0.0000,170.0000,27.3997,19479,1.0000
70,640,480,193,268.3773,35.0657,0.0000,255.0000,31.8781,25050,1.0000
71,640,480,173,158.2051,34.4537,0.0000,232.0000,30.4380,23618,1.0000
72,640,480,120,66.8868,23.0351,0.0000,151.0000,20.2492,17129,1.0000
73,640,480,158,174.3722,28.2334,0.0000,204.0000,24.4582,21365,1.0000
74,640,480,126,110.6866,22.6683,0.0000,162.0000,19.5676,18339,1.0000
75,640,480,163,235.0221,34.5472,0.0000,169.0000,30.4773,24751,1.0000
76,640,480,157,191.1850,31.8655,0.0000,156.0000,26.9289,24261,1.0000
77,640,480,110,103.3051,23.0593,0.0000,111.0000,20.3135,18067,1.0000
78,640,480,173,224.2836,34.0423,0.0000,209.0000,31.5240,23730,1.0000
79,640,480,120,98.6715,22.7118,0.0000,134.0000,21.0224,17399,1.0000
80,640,480,175,226.5933,31.5873,0.0000,235.0000,27.4221,24274,1.0000
81,640,480,156,151.7218,26.2534,0.0000,186.0000,22.8734,20955,1.0000
82,640,480,183,220.9084,31.4570,0.0000,218.0000,27.5038,24535,1.0000
83,640,480,128,96.9323,21.0732,0.0000,146.0000,18.2769,18072,1.0000
84,640,480,107,81.1802,21.2894,0.0000,106.0000,17.9539,17690,1.0000
85,640,480,125,105.3423,20.8941,0.0000,150.0000,18.0567,17982,1.0000
86,640,480,146,153.1601,26.4146,0.0000,197.0000,22.9670,20896,1.0000
87,640,480,171,224.1461,31.6865,0.0000,232.0000,27.6080,24435,1.0000
88,640,480,122,99.0959,21.1869,0.0000,156.0000,18.3774,17975,1.0000
89,640,480,129,108.5119,21.4586,0.0000,162.0000,18.7661,18072,1.0000
90,640,480,158,164.5936,27.3471,0.0000,196.0000,23.9372,21011,1.0000
91,640,480,179,242.7910,32.8111,0.0000,239.0000,28.7609,24606,1.0000
92,640,480,159,177.3370,27.3099,0.0000,209.0000,24.2079,21039,1.0000
93,640,480,131,115.0138,21.8899,0.0000,166.0000,19.3714,18034,1.0000
94,640,480,155,176.4341,27.7445,0.0000,207.0000,24.7469,21086,1.0000
95,640,480,133,111.8336,22.2480,0.0000,167.0000,19.8125,18111,1.0000
96,640,480,160,167.4230,28.5346,0.0000,219.0000,24.9992,21186,1.0000
97,640,480,189,239.1073,31.1976,0.0000,210.0000,29.5619,24254,1.0000
98,640,480,131,105.8062,22.8619,0.0000,171.0000,20.0190,18178,1.0000
99,640,480,186,244.1488,34.3862,0.0000,245.0000,30.3040,24746,1.0000
100,640,480,128,107.6677,22.9664,0.0000,170.0000,20.1964,18187,1.0000
101,640,480,157,160.3578,28.0219,0.0000,209.0000,25.3937,20700,1.0000
102,640,480,148,93.7235,28.0555,0.0000,189.0000,25.9645,18979,1.0000
103,640,480,178,139.6516,33.6477,0.0000,227.0000,31.2063,22390,1.0000
104,640,480,122,59.1816,22.4860,0.0000,150.0000,20.7922,16296,1.0000
105,640,480,169,179.0414,27.8318,0.0000,222.0000,26.8030,20159,1.0000
106,640,480,166,174.1869,27.2188,0.0000,219.0000,26.7492,19847,1.0000
107,640,480,193,258.6673,32.6506,0.0000,254.0000,32.1545,23456,1.0000
108,640,480,136,112.0984,21.8040,0.0000,174.0000,21.4142,17160,1.0000
109,640,480,196,248.5704,32.1256,0.0000,252.0000,31.9213,23159,1.0000
110,640,480,143,156.4038,29.6438,0.0000,166.0000,25.9128,21154,1.0000
111,640,480,159,171.3340,26.3696,0.0000,180.0000,25.0491,20737,1.0000
112,640,480,171,228.5862,35.5779,0.0000,208.0000,31.1294,24726,1.0000
113,640,480,170,176.3815,26.7154,0.0000,225.0000,27.0713,19585,1.0000
114,640,480,196,259.0052,32.0444,0.0000,255.0000,32.5473,22953,1.0000
115,640,480,160,171.0490,27.3727,0.0000,220.0000,26.0586,20357,1.0000
116,640,480,135,110.8828,21.9496,0.0000,173.0000,20.8660,17551,1.0000
117,640,480,157,172.5253,28.0893,0.0000,221.0000,25.5249,21019,1.0000
118,640,480,188,254.9800,33.7012,0.0000,251.0000,30.7144,24590,1.0000
119,640,480,184,258.5229,33.4601,0.0000,253.0000,29.5436,24958,1.0000
120,640,480,131,110.3284,22.3665,0.0000,173.0000,19.6682,18210,1.0000
121,640,480,156,175.4694,26.9739,0.0000,218.0000,23.9796,20962,1.0000
122,640,480,177,253.0219,32.3382,0.0000,255.0000,28.8210,24573,1.0000
123,640,480,183,253.1664,31.9121,0.0000,239.0000,28.1140,24590,1.0000
124,640,480,129,108.2100,21.3302,0.0000,162.0000,18.6998,18007,1.0000
125,640,480,127,110.4275,21.1388,0.0000,144.0000,20.0534,17845,1.0000
126,640,480,153,159.4180,26.3535,0.0000,195.0000,22.5054,20881,1.0000
127,640,480,126,101.6341,21.1170,0.0000,158.0000,18.0150,17940,1.0000
128,640,480,178,147.4746,31.8372,0.0000,209.0000,27.2219,22942,1.0000
129,640,480,121,62.0210,21.2823,0.0000,143.0000,18.1287,16472,1.0000
130,640,480,177,236.9504,31.4174,0.0000,232.0000,27.1037,24554,1.0000
131,640,480,121,102.3517,21.0054,0.0000,152.0000,18.0736,18076,1.0000
132,640,480,159,144.7800,25.6525,0.0000,175.0000,23.6160,20400,1.0000
133,640,480,181,247.9150,32.9889,0.0000,251.0000,29.5378,24587,1.0000
134,640,480,155,161.4750,27.6741,0.0000,214.0000,24.6355,20972,1.0000
135,640,480,182,236.3428,33.1805,0.0000,248.0000,29.6048,24604,1.0000
136,640,480,126,103.2757,22.1707,0.0000,174.0000,19.7170,18005,1.0000
137,640,480,137,111.7144,22.7203,0.0000,171.0000,20.4794,18109,1.0000
138,640,480,137,148.1772,28.5648,0.0000,137.0000,25.0295,20920,1.0000
139,640,480,160,217.9952,34.2774,0.0000,163.0000,30.0740,24571,1.0000
140,640,480,199,163.2308,34.3128,0.0000,207.0000,32.9323,23013,1.0000
141,640,480,108,94.8276,22.8853,0.0000,108.0000,20.0445,17949,1.0000
142,640,480,94,19.1037,6.5912,0.0000,97.0000,10.5591,8537,1.0000
143,640,480,165,141.5944,28.8801,0.0000,170.0000,26.6872,21726,1.0000
144,640,480,192,206.5907,34.6433,0.0000,203.0000,32.0663,25322,1.0000
145,640,480,156,150.4827,28.6541,0.0000,163.0000,25.7256,22223,1.0000
146,640,480,125,96.4165,22.9693,0.0000,130.0000,20.5839,19149,1.0000
147,640,480,150,143.2979,27.7518,0.0000,152.0000,24.6886,22223,1.0000
148,640,480,119,94.4386,22.2314,0.0000,126.0000,19.7601,19181,1.0000
149,640,480,149,157.3825,28.0841,0.0000,158.0000,24.3883,22548,1.0000
