component_id,mean,sum,count,min,max
965,15.852324,16.000000,0.990770,0.986635,0.993989
964,15.732176,16.000000,0.983261,0.979326,0.987568
962,3.925514,4.000000,0.981378,0.981378,0.981378
961,7.833094,8.000000,0.979137,0.978189,0.980084
959,3.919680,4.000000,0.979920,0.979920,0.979920
957,3.876907,4.000000,0.969227,0.969227,0.969227
955,3.873710,4.000000,0.968428,0.968428,0.968428
953,3.918710,4.000000,0.979677,0.979677,0.979677
947,3.897932,4.000000,0.974483,0.974483,0.974483
942,3.844203,4.000000,0.961051,0.961051,0.961051
941,3.884337,4.000000,0.971084,0.971084,0.971084
937,13.804285,14.000000,0.986020,0.971645,0.992690
936,82.615761,84.000000,0.983521,0.964682,0.988364
933,7.871039,8.000000,0.983880,0.981250,0.986510
930,3.903899,4.000000,0.975975,0.975975,0.975975
929,3.885757,4.000000,0.971439,0.971439,0.971439
927,3.871456,4.000000,0.967864,0.967864,0.967864
924,17.562395,18.000000,0.975689,0.966546,0.986433
921,39.183056,40.000000,0.979576,0.965795,0.986822
919,3.924032,4.000000,0.981008,0.981008,0.981008
917,3.929322,4.000000,0.982330,0.982330,0.982330
913,7.751298,8.000000,0.968912,0.964207,0.973617
911,25.541410,26.000000,0.982362,0.962291,0.992448
910,3.930999,4.000000,0.982750,0.982750,0.982750
909,3.937439,4.000000,0.984360,0.984360,0.984360
905,3.936654,4.000000,0.984163,0.984163,0.984163
901,19.442942,20.000000,0.972147,0.962315,0.982172
900,7.818441,8.000000,0.977305,0.968458,0.986153
899,3.902339,4.000000,0.975585,0.975585,0.975585
897,3.930681,4.000000,0.982670,0.982670,0.982670
894,3.904747,4.000000,0.976187,0.976187,0.976187
891,7.837894,8.000000,0.979737,0.979705,0.979768
889,3.935532,4.000000,0.983883,0.983883,0.983883
887,7.762429,8.000000,0.970304,0.967495,0.973112
886,3.952702,4.000000,0.988176,0.988176,0.988176
884,3.892691,4.000000,0.973173,0.973173,0.973173
883,3.876684,4.000000,0.969171,0.969171,0.969171
882,3.883792,4.000000,0.970948,0.970948,0.970948
878,3.951388,4.000000,0.987847,0.987847,0.987847
876,15.519760,16.000000,0.969985,0.961328,0.976244
875,3.882153,4.000000,0.970538,0.970538,0.970538
874,3.911358,4.000000,0.977840,0.977840,0.977840
870,25.388327,26.000000,0.976474,0.964799,0.983444
868,7.864641,8.000000,0.983080,0.978362,0.987798
867,11.716340,12.000000,0.976362,0.961531,0.985359
865,3.893097,4.000000,0.973274,0.973274,0.973274
864,3.859704,4.000000,0.964926,0.964926,0.964926
862,3.943826,4.000000,0.985956,0.985956,0.985956
860,3.914156,4.000000,0.978539,0.978539,0.978539
859,3.866515,4.000000,0.966629,0.966629,0.966629
858,7.740659,8.000000,0.967582,0.967211,0.967954
855,3.921172,4.000000,0.980293,0.980293,0.980293
854,3.850502,4.000000,0.962626,0.962626,0.962626
850,7.777222,8.000000,0.972153,0.960743,0.983563
847,3.871372,4.000000,0.967843,0.967843,0.967843
846,3.943157,4.000000,0.985789,0.985789,0.985789
844,363.104950,372.000000,0.976089,0.960017,0.993878
843,3.854894,4.000000,0.963723,0.963723,0.963723
842,3.949148,4.000000,0.987287,0.987287,0.987287
839,3.876784,4.000000,0.969196,0.969196,0.969196
837,3.905507,4.000000,0.976377,0.976377,0.976377
829,11.728371,12.000000,0.977364,0.966338,0.984864
825,3.937712,4.000000,0.984428,0.984428,0.984428
814,11.704317,12.000000,0.975360,0.965605,0.982901
812,7.784747,8.000000,0.973093,0.968363,0.977824
808,3.958602,4.000000,0.989651,0.989651,0.989651
806,7.778422,8.000000,0.972303,0.964419,0.980186
805,7.762608,8.000000,0.970326,0.964795,0.975857
804,3.938681,4.000000,0.984670,0.984670,0.984670
799,3.869031,4.000000,0.967258,0.967258,0.967258
796,3.855424,4.000000,0.963856,0.963856,0.963856
792,3.846798,4.000000,0.961699,0.961699,0.961699
791,3.938496,4.000000,0.984624,0.984624,0.984624
790,3.881279,4.000000,0.970320,0.970320,0.970320
788,3.920154,4.000000,0.980038,0.980038,0.980038
786,3.925734,4.000000,0.981434,0.981434,0.981434
781,3.901606,4.000000,0.975401,0.975401,0.975401
777,83.519867,84.000000,0.994284,0.983002,0.999858
776,3.917750,4.000000,0.979437,0.979437,0.979437
771,3.915062,4.000000,0.978766,0.978766,0.978766
765,3.887027,4.000000,0.971757,0.971757,0.971757
763,3.913320,4.000000,0.978330,0.978330,0.978330
759,3.940856,4.000000,0.985214,0.985214,0.985214
757,77.614265,78.000000,0.995055,0.975784,0.999843
756,3.934077,4.000000,0.983519,0.983519,0.983519
755,7.803755,8.000000,0.975469,0.964500,0.986438
753,11.726933,12.000000,0.977244,0.962546,0.985167
752,7.857932,8.000000,0.982242,0.981638,0.982845
750,3.926705,4.000000,0.981676,0.981676,0.981676
748,3.969394,4.000000,0.992348,0.992348,0.992348
746,3.953044,4.000000,0.988261,0.988261,0.988261
743,3.892517,4.000000,0.973129,0.966678,0.979580
742,3.943813,4.000000,0.985953,0.985953,0.985953
741,3.979796,4.000000,0.994949,0.994949,0.994949
740,3.902403,4.000000,0.975601,0.975601,0.975601
738,1.954049,2.000000,0.977024,0.977024,0.977024
736,3.904326,4.000000,0.976082,0.976082,0.976082
735,3.976229,4.000000,0.994057,0.994057,0.994057
734,33.414574,34.000000,0.982782,0.966639,0.994147
733,11.826203,12.000000,0.985517,0.979223,0.989851
731,3.921651,4.000000,0.980413,0.980413,0.980413
730,15.885768,16.000000,0.992860,0.987338,0.997648
728,33.137211,34.000000,0.974624,0.965552,0.986004
726,15.911073,16.000000,0.994442,0.992508,0.994988
725,23.785221,24.000000,0.991051,0.984170,0.995492
724,15.857168,16.000000,0.991073,0.984398,0.993619
722,7.784563,8.000000,0.973070,0.963665,0.982476
720,3.888210,4.000000,0.972052,0.972052,0.972052
715,7.831009,8.000000,0.978876,0.973640,0.984112
713,3.945262,4.000000,0.986316,0.986316,0.986316
702,3.910899,4.000000,0.977725,0.977725,0.977725
701,13.624807,14.000000,0.973201,0.963724,0.982600
700,7.837605,8.000000,0.979701,0.979424,0.979977
699,19.900940,20.000000,0.995047,0.993457,0.996062
698,15.881896,16.000000,0.992619,0.989773,0.995333
697,3.926523,4.000000,0.981631,0.981631,0.981631
696,31.808895,32.000000,0.994028,0.985277,0.997041
695,55.360840,56.000000,0.988586,0.979195,0.996028
