__id,component_id,sum,count,mean_distance,min_distance,max_distance
0,0,15.7533,16.0000,0.9846,0.9772,0.9914
1,1,11.8432,12.0000,0.9869,0.9768,0.9940
2,1,11.8432,12.0000,0.9869,0.9768,0.9940
3,1,11.8432,12.0000,0.9869,0.9768,0.9940
4,2,82.7635,84.0000,0.9853,0.9718,0.9950
5,3,94.2310,96.0000,0.9816,0.9709,0.9940
6,4,19.5595,20.0000,0.9780,0.9613,0.9906
7,3,94.2310,96.0000,0.9816,0.9709,0.9940
8,5,86.9577,88.0000,0.9882,0.9736,0.9959
9,5,86.9577,88.0000,0.9882,0.9736,0.9959
10,6,15.6903,16.0000,0.9806,0.9724,0.9926
11,6,15.6903,16.0000,0.9806,0.9724,0.9926
12,7,3.9697,4.0000,0.9924,0.9924,0.9924
13,7,3.9697,4.0000,0.9924,0.9924,0.9924
14,6,15.6903,16.0000,0.9806,0.9724,0.9926
15,6,15.6903,16.0000,0.9806,0.9724,0.9926
16,2,82.7635,84.0000,0.9853,0.9718,0.9950
17,2,82.7635,84.0000,0.9853,0.9718,0.9950
18,3,94.2310,96.0000,0.9816,0.9709,0.9940
19,3,94.2310,96.0000,0.9816,0.9709,0.9940
20,2,82.7635,84.0000,0.9853,0.9718,0.9950
21,2,82.7635,84.0000,0.9853,0.9718,0.9950
22,2,82.7635,84.0000,0.9853,0.9718,0.9950
23,2,82.7635,84.0000,0.9853,0.9718,0.9950
24,8,184.7370,188.0000,0.9826,0.9611,0.9948
25,8,184.7370,188.0000,0.9826,0.9611,0.9948
26,4,19.5595,20.0000,0.9780,0.9613,0.9906
27,8,184.7370,188.0000,0.9826,0.9611,0.9948
28,9,11.8804,12.0000,0.9900,0.9832,0.9945
29,9,11.8804,12.0000,0.9900,0.9832,0.9945
30,9,11.8804,12.0000,0.9900,0.9832,0.9945
31,8,184.7370,188.0000,0.9826,0.9611,0.9948
32,10,11.8355,12.0000,0.9863,0.9762,0.9921
33,10,11.8355,12.0000,0.9863,0.9762,0.9921
34,4,19.5595,20.0000,0.9780,0.9613,0.9906
35,10,11.8355,12.0000,0.9863,0.9762,0.9921
36,5,86.9577,88.0000,0.9882,0.9736,0.9959
37,3,94.2310,96.0000,0.9816,0.9709,0.9940
38,3,94.2310,96.0000,0.9816,0.9709,0.9940
39,2,82.7635,84.0000,0.9853,0.9718,0.9950
40,2,82.7635,84.0000,0.9853,0.9718,0.9950
41,2,82.7635,84.0000,0.9853,0.9718,0.9950
42,2,82.7635,84.0000,0.9853,0.9718,0.9950
43,11,19.6962,20.0000,0.9848,0.9812,0.9909
44,11,19.6962,20.0000,0.9848,0.9812,0.9909
45,11,19.6962,20.0000,0.9848,0.9812,0.9909
46,11,19.6962,20.0000,0.9848,0.9812,0.9909
47,11,19.6962,20.0000,0.9848,0.9812,0.9909
48,12,141.6758,144.0000,0.9839,0.9655,0.9941
49,2,82.7635,84.0000,0.9853,0.9718,0.9950
50,2,82.7635,84.0000,0.9853,0.9718,0.9950
51,2,82.7635,84.0000,0.9853,0.9718,0.9950
52,8,184.7370,188.0000,0.9826,0.9611,0.9948
53,8,184.7370,188.0000,0.9826,0.9611,0.9948
54,8,184.7370,188.0000,0.9826,0.9611,0.9948
55,12,141.6758,144.0000,0.9839,0.9655,0.9941
56,8,184.7370,188.0000,0.9826,0.9611,0.9948
57,13,64.9418,66.0000,0.9840,0.9618,0.9951
58,13,64.9418,66.0000,0.9840,0.9618,0.9951
59,13,64.9418,66.0000,0.9840,0.9618,0.9951
60,13,64.9418,66.0000,0.9840,0.9618,0.9951
61,13,64.9418,66.0000,0.9840,0.9618,0.9951
62,13,64.9418,66.0000,0.9840,0.9618,0.9951
63,13,64.9418,66.0000,0.9840,0.9618,0.9951
64,14,23.6458,24.0000,0.9852,0.9747,0.9944
65,14,23.6458,24.0000,0.9852,0.9747,0.9944
66,14,23.6458,24.0000,0.9852,0.9747,0.9944
67,14,23.6458,24.0000,0.9852,0.9747,0.9944
68,15,98.4823,100.0000,0.9848,0.9720,0.9953
69,16,108.0535,110.0000,0.9823,0.9609,0.9944
70,15,98.4823,100.0000,0.9848,0.9720,0.9953
71,15,98.4823,100.0000,0.9848,0.9720,0.9953
72,15,98.4823,100.0000,0.9848,0.9720,0.9953
73,15,98.4823,100.0000,0.9848,0.9720,0.9953
74,15,98.4823,100.0000,0.9848,0.9720,0.9953
75,8,184.7370,188.0000,0.9826,0.9611,0.9948
76,17,58.8723,60.0000,0.9812,0.9631,0.9950
77,8,184.7370,188.0000,0.9826,0.9611,0.9948
78,3,94.2310,96.0000,0.9816,0.9709,0.9940
79,3,94.2310,96.0000,0.9816,0.9709,0.9940
80,18,47.1486,48.0000,0.9823,0.9668,0.9931
81,19,11.8275,12.0000,0.9856,0.9761,0.9908
82,19,11.8275,12.0000,0.9856,0.9761,0.9908
83,19,11.8275,12.0000,0.9856,0.9761,0.9908
84,17,58.8723,60.0000,0.9812,0.9631,0.9950
85,18,47.1486,48.0000,0.9823,0.9668,0.9931
86,18,47.1486,48.0000,0.9823,0.9668,0.9931
87,18,47.1486,48.0000,0.9823,0.9668,0.9931
88,18,47.1486,48.0000,0.9823,0.9668,0.9931
89,18,47.1486,48.0000,0.9823,0.9668,0.9931
90,15,98.4823,100.0000,0.9848,0.9720,0.9953
91,15,98.4823,100.0000,0.9848,0.9720,0.9953
92,15,98.4823,100.0000,0.9848,0.9720,0.9953
93,15,98.4823,100.0000,0.9848,0.9720,0.9953
94,15,98.4823,100.0000,0.9848,0.9720,0.9953
95,15,98.4823,100.0000,0.9848,0.9720,0.9953
96,15,98.4823,100.0000,0.9848,0.9720,0.9953
97,12,141.6758,144.0000,0.9839,0.9655,0.9941
98,15,98.4823,100.0000,0.9848,0.9720,0.9953
99,20,11.7298,12.0000,0.9775,0.9753,0.9818
100,20,11.7298,12.0000,0.9775,0.9753,0.9818
101,20,11.7298,12.0000,0.9775,0.9753,0.9818
102,13,64.9418,66.0000,0.9840,0.9618,0.9951
103,13,64.9418,66.0000,0.9840,0.9618,0.9951
104,13,64.9418,66.0000,0.9840,0.9618,0.9951
105,13,64.9418,66.0000,0.9840,0.9618,0.9951
106,13,64.9418,66.0000,0.9840,0.9618,0.9951
107,13,64.9418,66.0000,0.9840,0.9618,0.9951
108,13,64.9418,66.0000,0.9840,0.9618,0.9951
109,13,64.9418,66.0000,0.9840,0.9618,0.9951
110,21,192.6217,196.0000,0.9828,0.9609,0.9950
111,12,141.6758,144.0000,0.9839,0.9655,0.9941
112,21,192.6217,196.0000,0.9828,0.9609,0.9950
113,13,64.9418,66.0000,0.9840,0.9618,0.9951
114,13,64.9418,66.0000,0.9840,0.9618,0.9951
115,14,23.6458,24.0000,0.9852,0.9747,0.9944
116,14,23.6458,24.0000,0.9852,0.9747,0.9944
117,15,98.4823,100.0000,0.9848,0.9720,0.9953
118,15,98.4823,100.0000,0.9848,0.9720,0.9953
119,15,98.4823,100.0000,0.9848,0.9720,0.9953
120,15,98.4823,100.0000,0.9848,0.9720,0.9953
121,15,98.4823,100.0000,0.9848,0.9720,0.9953
122,15,98.4823,100.0000,0.9848,0.9720,0.9953
123,18,47.1486,48.0000,0.9823,0.9668,0.9931
124,18,47.1486,48.0000,0.9823,0.9668,0.9931
125,12,141.6758,144.0000,0.9839,0.9655,0.9941
126,18,47.1486,48.0000,0.9823,0.9668,0.9931
127,18,47.1486,48.0000,0.9823,0.9668,0.9931
128,22,96.4029,98.0000,0.9837,0.9608,0.9950
129,22,96.4029,98.0000,0.9837,0.9608,0.9950
130,18,47.1486,48.0000,0.9823,0.9668,0.9931
131,18,47.1486,48.0000,0.9823,0.9668,0.9931
132,12,141.6758,144.0000,0.9839,0.9655,0.9941
133,15,98.4823,100.0000,0.9848,0.9720,0.9953
134,15,98.4823,100.0000,0.9848,0.9720,0.9953
135,15,98.4823,100.0000,0.9848,0.9720,0.9953
136,15,98.4823,100.0000,0.9848,0.9720,0.9953
137,15,98.4823,100.0000,0.9848,0.9720,0.9953
138,21,192.6217,196.0000,0.9828,0.9609,0.9950
139,21,192.6217,196.0000,0.9828,0.9609,0.9950
140,16,108.0535,110.0000,0.9823,0.9609,0.9944
141,21,192.6217,196.0000,0.9828,0.9609,0.9950
142,23,0.0000,0.0000,0.0000,0.0000,0.0000
143,24,15.8058,16.0000,0.9879,0.9826,0.9941
144,24,15.8058,16.0000,0.9879,0.9826,0.9941
145,25,70.6393,72.0000,0.9811,0.9691,0.9920
146,25,70.6393,72.0000,0.9811,0.9691,0.9920
147,25,70.6393,72.0000,0.9811,0.9691,0.9920
148,25,70.6393,72.0000,0.9811,0.9691,0.9920
149,25,70.6393,72.0000,0.9811,0.9691,0.9920
150,25,70.6393,72.0000,0.9811,0.9691,0.9920
151,25,70.6393,72.0000,0.9811,0.9691,0.9920
152,25,70.6393,72.0000,0.9811,0.9691,0.9920
153,25,70.6393,72.0000,0.9811,0.9691,0.9920
154,26,102.2177,104.0000,0.9829,0.9632,0.9939
155,21,192.6217,196.0000,0.9828,0.9609,0.9950
156,21,192.6217,196.0000,0.9828,0.9609,0.9950
157,21,192.6217,196.0000,0.9828,0.9609,0.9950
158,25,70.6393,72.0000,0.9811,0.9691,0.9920
159,25,70.6393,72.0000,0.9811,0.9691,0.9920
160,25,70.6393,72.0000,0.9811,0.9691,0.9920
161,26,102.2177,104.0000,0.9829,0.9632,0.9939
162,25,70.6393,72.0000,0.9811,0.9691,0.9920
163,25,70.6393,72.0000,0.9811,0.9691,0.9920
164,25,70.6393,72.0000,0.9811,0.9691,0.9920
165,25,70.6393,72.0000,0.9811,0.9691,0.9920
166,25,70.6393,72.0000,0.9811,0.9691,0.9920
167,25,70.6393,72.0000,0.9811,0.9691,0.9920
168,21,192.6217,196.0000,0.9828,0.9609,0.9950
169,21,192.6217,196.0000,0.9828,0.9609,0.9950
170,24,15.8058,16.0000,0.9879,0.9826,0.9941
171,24,15.8058,16.0000,0.9879,0.9826,0.9941
172,27,39.0868,40.0000,0.9772,0.9623,0.9950
173,27,39.0868,40.0000,0.9772,0.9623,0.9950
174,28,3.9668,4.0000,0.9917,0.9917,0.9917
175,12,141.6758,144.0000,0.9839,0.9655,0.9941
176,28,3.9668,4.0000,0.9917,0.9917,0.9917
177,27,39.0868,40.0000,0.9772,0.9623,0.9950
178,27,39.0868,40.0000,0.9772,0.9623,0.9950
179,27,39.0868,40.0000,0.9772,0.9623,0.9950
180,27,39.0868,40.0000,0.9772,0.9623,0.9950
181,27,39.0868,40.0000,0.9772,0.9623,0.9950
182,27,39.0868,40.0000,0.9772,0.9623,0.9950
183,27,39.0868,40.0000,0.9772,0.9623,0.9950
184,27,39.0868,40.0000,0.9772,0.9623,0.9950
185,29,11.5929,12.0000,0.9661,0.9607,0.9747
186,30,11.8083,12.0000,0.9840,0.9723,0.9920
187,30,11.8083,12.0000,0.9840,0.9723,0.9920
188,30,11.8083,12.0000,0.9840,0.9723,0.9920
189,29,11.5929,12.0000,0.9661,0.9607,0.9747
190,31,31.2964,32.0000,0.9780,0.9637,0.9933
191,31,31.2964,32.0000,0.9780,0.9637,0.9933
192,31,31.2964,32.0000,0.9780,0.9637,0.9933
193,31,31.2964,32.0000,0.9780,0.9637,0.9933
194,31,31.2964,32.0000,0.9780,0.9637,0.9933
195,12,141.6758,144.0000,0.9839,0.9655,0.9941
196,31,31.2964,32.0000,0.9780,0.9637,0.9933
197,31,31.2964,32.0000,0.9780,0.9637,0.9933
198,31,31.2964,32.0000,0.9780,0.9637,0.9933
199,29,11.5929,12.0000,0.9661,0.9607,0.9747
200,32,11.8432,12.0000,0.9869,0.9812,0.9908
201,12,141.6758,144.0000,0.9839,0.9655,0.9941
202,32,11.8432,12.0000,0.9869,0.9812,0.9908
203,33,0.0000,0.0000,0.0000,0.0000,0.0000
204,29,11.5929,12.0000,0.9661,0.9607,0.9747
