from,to,distance
4601,4606,0.961413
8010,8021,0.961350
4515,4521,0.961348
4287,4372,0.961337
890,394,0.961331
12039,12038,0.961328
12038,12039,0.961328
10231,10224,0.961292
1957,1976,0.961290
4391,4354,0.961265
8357,8355,0.961262
34,6,0.961255
8111,8120,0.961251
4317,4320,0.961240
4316,4205,0.961235
4205,4316,0.961235
2861,2843,0.961230
6251,6247,0.961227
2242,2260,0.961198
6273,6280,0.961195
10266,10305,0.961186
6686,6668,0.961180
10029,10034,0.961178
8443,8433,0.961156
10380,10391,0.961117
11974,12021,0.961099
4286,4292,0.961092
4523,4517,0.961088
8123,8051,0.961085
2133,2136,0.961082
954,25,0.961080
4053,4742,0.961073
12309,11980,0.961070
2179,2174,0.961068
335,337,0.961054
12349,12350,0.961051
12350,12349,0.961051
11640,12162,0.961025
4792,4767,0.961006
4767,4792,0.961006
5854,5856,0.961002
9868,9829,0.960982
9646,10551,0.960974
6357,6355,0.960951
7851,7828,0.960945
7828,7851,0.960945
4224,4219,0.960931
2585,2452,0.960924
3045,3096,0.960917
6685,6688,0.960909
5807,5837,0.960903
3944,3907,0.960896
7995,7972,0.960878
9969,9811,0.960877
12272,12263,0.960875
356,369,0.960871
8444,8433,0.960870
8123,8106,0.960868
817,788,0.960856
10021,10007,0.960848
128,763,0.960843
5904,5867,0.960840
4523,4506,0.960835
6250,6245,0.960825
10698,11187,0.960819
4006,3988,0.960817
10152,10167,0.960811
512,484,0.960801
2173,2160,0.960801
4595,4596,0.960798
2570,2607,0.960789
8298,8275,0.960778
4670,4653,0.960767
4590,4593,0.960764
11960,11958,0.960743
11958,11960,0.960743
199,189,0.960734
189,199,0.960734
2487,2448,0.960723
2448,2487,0.960723
4798,4287,0.960696
2733,2752,0.960686
6183,6185,0.960680
6185,6183,0.960680
10392,10388,0.960665
2332,2327,0.960661
2327,2332,0.960661
248,211,0.960651
2300,2273,0.960630
4637,4618,0.960618
10136,10133,0.960614
10133,10136,0.960614
6126,6153,0.960582
6153,6126,0.960582
12300,12243,0.960580
6281,6282,0.960575
4612,4613,0.960565
3939,3938,0.960521
11807,11805,0.960514
10061,9660,0.960503
2612,2609,0.960493
6164,6163,0.960474
6163,6164,0.960474
12015,12355,0.960469
8010,8016,0.960463
4200,4038,0.960446
6861,7476,0.960443
12284,12105,0.960437
5909,5908,0.960437
9858,9846,0.960436
2323,2320,0.960401
4185,4188,0.960400
6629,6631,0.960399
4226,4225,0.960393
5930,5936,0.960374
9977,9973,0.960342
6281,6290,0.960341
7983,7985,0.960272
7985,7983,0.960272
10135,10134,0.960268
10134,10135,0.960268
4719,4741,0.960268
12092,12330,0.960265
6119,6116,0.960262
4763,4756,0.960242
4146,4269,0.960240
7710,7723,0.960236
8119,8025,0.960230
8503,8548,0.960224
8632,8487,0.960212
10105,10103,0.960210
10134,10137,0.960180
8543,8080,0.960172
2551,2550,0.960167
2571,2599,0.960165
4611,4590,0.960154
10327,10345,0.960147
3999,3990,0.960142
12066,12073,0.960132
12265,12263,0.960131
12365,12363,0.960124
2486,2464,0.960120
4426,4366,0.960119
10313,10271,0.960113
8017,8018,0.960108
8087,7764,0.960104
6283,6307,0.960096
1779,1780,0.960084
4516,4514,0.960075
4326,4330,0.960073
10058,10056,0.960063
6605,6586,0.960040
6586,6605,0.960040
2076,2316,0.960030
3849,3847,0.960027
6197,6198,0.960023
6198,6197,0.960023
4230,4228,0.960018
12274,12273,0.960017
12273,12274,0.960017
11848,11957,0.960015
11957,11848,0.960015
11794,11802,0.960001
6529,6564,0.959991
8253,8218,0.959984
5910,5914,0.959963
9649,10551,0.959950
9809,9807,0.959947
12339,12198,0.959925
4207,4206,0.959908
1919,1939,0.959899
9824,9847,0.959895
4299,3961,0.959895
377,358,0.959886
11904,11895,0.959864
11895,11904,0.959864
2328,2325,0.959862
2325,2328,0.959862
10038,10472,0.959860
5309,5429,0.959852
8267,8555,0.959848
5307,5427,0.959842
8293,8281,0.959809
8530,8542,0.959800
2221,2635,0.959780
12298,12297,0.959773
10062,10064,0.959767
11983,11982,0.959765
11982,11983,0.959765
11909,11899,0.959748
10997,11221,0.959738
12358,12120,0.959691
10285,10305,0.959687
4214,4213,0.959686
4213,4214,0.959686
11888,11867,0.959678
11867,11888,0.959678
9996,10000,0.959675
10000,9996,0.959675
8516,8514,0.959671
12353,12354,0.959649
12354,12353,0.959649
12107,12176,0.959636
9776,10012,0.959635
8292,8133,0.959600
7961,7986,0.959589
10390,10393,0.959577
6181,6183,0.959559
2657,2676,0.959544
2602,2452,0.959540
822,795,0.959534
2127,2090,0.959514
3944,4794,0.959513
4641,4642,0.959502
4642,4641,0.959502
6476,6478,0.959499
4599,4590,0.959484
10052,10050,0.959470
2438,2060,0.959467
4403,4426,0.959439
11771,11770,0.959423
11770,11771,0.959423
6205,6201,0.959423
9877,9879,0.959418
10482,10484,0.959417
12309,12254,0.959416
4790,4763,0.959412
6718,6095,0.959410
4736,4738,0.959408
