from,to,distance
12145,12146,0.999858
12146,12145,0.999858
12440,12441,0.999843
12441,12440,0.999843
12154,12145,0.999774
12145,12154,0.999774
12146,12156,0.999714
12156,12146,0.999714
12154,12156,0.999711
12156,12154,0.999711
12144,12145,0.999708
12147,12151,0.999703
12151,12147,0.999703
12441,12461,0.999680
12461,12441,0.999680
12440,12461,0.999675
12461,12440,0.999675
12460,12440,0.999665
12301,12440,0.999616
12161,12160,0.999598
12160,12161,0.999598
12460,12461,0.999595
12144,12146,0.999588
12301,12441,0.999587
12159,12146,0.999547
12159,12144,0.999543
12151,12149,0.999483
12149,12151,0.999483
12147,12460,0.999262
12153,12154,0.999251
12149,12461,0.999210
12153,12145,0.998937
12152,12461,0.998527
7392,7373,0.998518
7373,7392,0.998518
12160,12153,0.998506
12143,11972,0.998447
11972,12143,0.998447
7456,7455,0.998416
7455,7456,0.998416
11835,12151,0.998393
12161,12153,0.998335
12152,12151,0.998316
6847,6844,0.998298
6844,6847,0.998298
11835,12147,0.998228
11834,12161,0.998167
3280,3266,0.998141
3266,3280,0.998141
5352,5350,0.998036
5350,5352,0.998036
5003,5000,0.997901
5000,5003,0.997901
5115,5114,0.997896
5114,5115,0.997896
5290,5293,0.997872
5293,5290,0.997872
11834,12150,0.997869
12150,11834,0.997869
9397,9399,0.997822
9399,9397,0.997822
9181,9177,0.997807
9177,9181,0.997807
9302,9299,0.997786
9299,9302,0.997786
7442,7459,0.997754
7459,7442,0.997754
5004,5001,0.997700
5001,5004,0.997700
11972,12152,0.997691
11653,11655,0.997648
11655,11653,0.997648
12445,12444,0.997579
12444,12445,0.997579
7151,7191,0.997411
7191,7151,0.997411
7169,7172,0.997351
7172,7169,0.997351
12017,12016,0.997296
12016,12017,0.997296
7157,7158,0.997150
7158,7157,0.997150
8780,8773,0.997121
8773,8780,0.997121
7329,7330,0.997095
7330,7329,0.997095
11971,12156,0.997044
11572,11575,0.997041
11575,11572,0.997041
11793,12150,0.997038
12150,11793,0.997038
11971,12145,0.997006
3795,3783,0.996984
3783,3795,0.996984
9390,9392,0.996977
9392,9390,0.996977
11297,11298,0.996954
11298,11297,0.996954
2981,2979,0.996946
2979,2981,0.996946
10728,10735,0.996931
10735,10728,0.996931
3073,3074,0.996914
3074,3073,0.996914
7387,7386,0.996896
7386,7387,0.996896
3238,3237,0.996890
3237,3238,0.996890
7399,7400,0.996884
7400,7399,0.996884
11288,11286,0.996875
11286,11288,0.996875
11026,11027,0.996839
11027,11026,0.996839
6876,6877,0.996787
6877,6876,0.996787
3561,3559,0.996765
3559,3561,0.996765
9455,9454,0.996753
9454,9455,0.996753
7255,7239,0.996706
7239,7255,0.996706
6819,6817,0.996675
6817,6819,0.996675
8753,8760,0.996674
8760,8753,0.996674
9320,9321,0.996668
9321,9320,0.996668
8708,8709,0.996667
8709,8708,0.996667
7328,7327,0.996667
7327,7328,0.996667
5032,4958,0.996640
4958,5032,0.996640
3244,3234,0.996634
3234,3244,0.996634
1806,1835,0.996634
1835,1806,0.996634
6819,6822,0.996631
6822,6819,0.996631
7608,7612,0.996629
7612,7608,0.996629
12142,11793,0.996629
11793,12142,0.996629
9459,9457,0.996614
9457,9459,0.996614
1521,1523,0.996613
1523,1521,0.996613
11265,11267,0.996612
11267,11265,0.996612
7395,7396,0.996609
7396,7395,0.996609
7609,7613,0.996594
7613,7609,0.996594
5748,4825,0.996582
4825,5748,0.996582
12432,12431,0.996572
12431,12432,0.996572
9480,9481,0.996563
9481,9480,0.996563
7093,7094,0.996562
7094,7093,0.996562
11052,11051,0.996552
11051,11052,0.996552
